ID,MAIN_DRIVER_ID
30477455,781899
30362691,777447
30435083,780377
31335899,771992
30572899,784067
31897267,816789
23834755,638424
31699255,809506
30784211,764063
31082855,419968
30970875,482504
17481667,396724
14239670,170400
16149275,326386
27421491,730765
25661427,696500
14524994,190972
14016354,320041
23329079,651883
25549103,710829
17429451,714911
25723703,714276
25907299,614147
30265131,773925
31939051,819437
18803783,483570
14289450,174258
21577203,409783
24664655,694030
14017850,320144
14118594,325160
14333190,177546
21384411,186523
29891767,361745
14450550,185910
30853387,783513
14262514,172189
28206231,175699
31371127,817558
31891171,816240
30279199,775020
25052255,702962
14142774,325488
31953683,820309
29077919,631769
31142351,795722
31198047,684444
16547543,333629
30132499,443000
29902039,638424
29656059,486739
18390723,458729
31894911,816562
29072623,750917
15213650,238634
14294586,174637
19702567,517375
30149055,769681
14118570,325159
14299190,175047
28797967,681000
20864291,373195
30371439,781198
23828043,666991
23097495,636966
21677175,582563
31513307,804771
30994631,789541
31012423,696277
17211431,373940
14521758,190699
16584463,392620
18936367,487805
20265735,464391
21422131,378983
27236263,586869
17613815,402314
30412851,502312
28329183,437332
18377535,458268
31303071,39474
14328298,458268
29621607,320670
30477987,781890
30673167,785574
26203191,641956
31859579,492518
29246583,323073
23153115,640456
14043958,321801
19231591,498648
30804863,170993
23889871,668129
14410666,183468
24666427,694166
14801262,209843
26208899,719213
20498635,174965
21628575,580605
22985175,631661
23314027,657553
14190050,166317
19117263,490945
31830931,813969
26367875,720865
25275067,708548
17437483,393888
30195691,771519
29143491,751426
14205514,167581
24173967,675975
29408139,542112
22262895,547238
31266859,444059
31886363,694804
31890643,816185
31891927,816340
31893263,387671
30092247,767395
30097491,767747
24415207,689739
28462111,511533
14149498,523169
14042202,321670
14064110,232145
27176111,728060
15632475,261206
27729671,733920
30979071,791430
30886219,788606
31006839,791979
30920807,789601
29408863,753944
31119191,795263
31892379,816368
17336311,385517
14074250,323405
24626007,692296
29269887,752018
21298947,565363
31899547,816996
29555751,755746
30821263,783298
31790243,812702
14675426,200229
31590039,233738
23841399,667307
31588035,806666
14436590,184938
31093219,794480
31186415,796686
26216547,673118
24061507,672444
29022203,747864
14584150,359580
21673411,582455
22280207,603548
14429394,184543
16835691,347338
14260782,786898
14037354,321338
14067610,323135
14576122,194336
14143774,163415
15364342,246118
30466839,781676
21400279,571000
17362795,387829
14102202,324889
31713575,806670
19843739,415702
30168139,770322
30378323,741400
30875303,788542
23139851,642938
18734107,479223
20772727,550188
31314367,244619
24378135,681632
28794655,745857
30813671,787535
23290563,649689
27856707,735629
29081479,748403
15850231,203467
14960966,220586
17414795,391228
17290671,366522
14268914,172634
30124343,445476
23103627,16474
22555283,520698
31912387,818028
17544327,403176
30363019,777373
25169591,235196
14468346,187181
29808791,570362
26951691,392215
30136251,439634
27053159,654686
15548235,257431
31216863,372728
24204731,553602
22771675,620537
30912595,556253
18718727,477558
30392715,778681
29337355,341487
31914611,477376
30474355,387065
30878087,788929
23686327,640029
14036266,321268
14009650,319766
14143354,163386
14281470,712126
15416067,250871
15861311,269998
16951555,354706
17456215,395299
18380547,458400
18708511,476742
18913079,486836
20274415,538676
22000071,595795
23128995,639115
23002867,632425
16024175,274534
29952075,765586
30173387,770739
30812363,787526
31195627,796870
14250382,171166
31255419,631158
28359051,740826
28322291,743778
31222219,508913
29365159,752761
16521879,761157
16936843,651284
31741911,811121
31093147,567882
31292951,749846
15169226,234838
30077755,766229
30116811,768321
30143907,654170
31117035,691419
14167938,212751
28735919,745526
14492214,747020
29136543,749189
30362383,777343
23146387,384148
27424903,730861
26926343,724917
30723255,786193
28206163,677976
14019414,163939
30988283,367090
30831571,787883
23229927,372136
31619899,470592
13998706,528008
23649547,662202
30328303,781563
17399851,390099
24351335,680716
30530731,783087
29456295,760951
14006410,319551
14116170,745743
31888427,816745
31913975,818164
31934999,819213
29583903,755697
19243399,502742
31830139,813879
14871438,214671
31188135,796736
30311475,775520
31323311,800183
19599403,515673
31621587,807170
31934975,437806
21283543,564798
19827055,
22897571,627141
31009255,792069
30429179,796975
22859051,627900
31725835,810688
27834435,735312
22773579,620668
31152531,796053
30928167,789541
17840143,417666
17459635,396765
17738171,170167
31860955,254736
31363251,722412
18153479,449615
28447971,230288
31863655,814905
25107559,704240
14139098,163132
21341919,567952
14929618,543501
30441891,170650
29752783,365987
19169271,340534
14180962,494266
14808354,210318
16416583,332079
18643483,470592
20083039,453282
19912043,528651
22784311,573453
25473303,709571
18478639,384017
23533207,162475
24716351,218685
24811615,426103
14379966,181219
29954995,173728
30510503,401422
31058851,543912
30465747,169850
30313431,219535
30338655,206078
30711995,271563
20165135,270383
24803243,186990
23258043,647885
23725463,664272
30222131,772473
